Year,"Production 
",Temperature,Humidity,Rainfall,Wind Speed
1990,512220,16.94,70.20877049,270.03,2.70852459
1991,580800,27.49,76.75352459,541.65,2.374754098
1992,566960,31.26,60.89467213,164.47,2.367786885
1993,552590,26.56,68.7592623,195.22,2.094098361
1994,544810,26.46286885,58.14065574,113.51,4.777540984
1995,481820,20.3,74.89983607,257.76,2.396147541
1996,535750,24.96672131,63.46942623,213.52,2.140983607
1997,552780,27.91,76.59852459,323.73,2.480163934
1998,608920,28.1,82.46590164,341.59,2.524672131
1999,678180,23.71967213,83.09786885,430.35,2.529672131
2000,736570,27.87,80.3957377,369.49,2.376557377
2001,809320,23.81532787,81.79959016,425.67,2.335983607
2002,849220,23.70360656,80.63647541,352.34,2.319672131
2003,863620,23.81827869,82.09491803,377.92,2.432786885
2004,866170,23.36344262,82.53737705,851.19,2.498688525
2005,938662,23.37418033,84.65811475,618.15,2.481639344
2006,862236,23.90803279,79.66442623,472.59,2.352295082
2007,183144,23.2454918,84.99360656,608.92,2.681885246
2008,233939,23.2454918,84.99360656,608.92,2.681885246
2009,217990,23.63991803,82.55139344,376.68,2.483606557
2010,203305,24.16631148,83.03057377,515.15,2.479508197
2011,226879,24.33811475,78.00598361,251.21,2.532868852
2012,204100,22.9702459,79.88696721,302.84,2.795819672
2013,190647,24.02680328,82.67795082,423.08,2.461147541
2014,200561,24.12655738,77.34303279,330.63,2.198934426
2015,205638,24.67336066,77.05606557,348.92,1.901311475
2016,211933,24.42721311,84.09163934,736.6,2.206885246
2017,218997,24.2547541,85.0307377,1218.35,2.317377049
2018,176590,24.09459016,76.6407377,293.65,2.18704918
2019,179206,23.97016393,84.60172131,757.99,2.304754098
2020,234756,24.3492623,85.20385246,808.02,2.238032787
