YEAR,production,rainfall,rh,t,ws
1990,465122.8192,178.88,67.34134,24.98266667,2.776666667
1991,474194.6692,2306.18,61.648667,24.21966667,2.371083333
1992,487357.9235,81.08,45.358,26.20625,2.635
1993,529923.0435,125.96,47.963917,25.82033333,2.534833333
1994,520198.0203,83.36,41.558583,25.97816667,2.74275
1995,580072.2301,200.37,62.27725,24.97675,2.685333333
1996,588590.6972,95.64,57.478167,25.22575,2.54425
1997,628461.4777,95.64,65.58225,23.73583333,2.307166667
1998,829910.9779,409.53,75.545583,23.74766667,2.39425
1999,866751.7606,306.02,90.46034,23.48683333,2.383583333
2000,873927.0341,411.34,65,23.66858333,2.088916667
2001,875573.4679,392.62,70.84808,23.66083333,2.112916667
2002,868485.5706,312.03,61.91141,23.38041667,2.239416667
2003,923591.7082,353.33,66.59584,23.67666667,2.288083333
2004,988683.4665,462.24,67.173417,22.97166667,2.599583333
2005,1049472.27,558.36,67.08384,23.01658333,2.41975
2006,1049237.653,282.31,64.376084,23.92541667,2.3225
2007,237713.7512,381.83,71.82967,22.89516667,2.545583333
2008,281275.9185,275.88,75.006167,24.14583333,2.1885
2009,268670.8217,354.95,60.16425,23.13925,2.31775
2010,224648.4761,323.81,57.22867,24.239,2.403416667
2011,240799.168,239.15,70.33775,23.74858333,2.423
2012,256490.5049,2006.61,69.06484,21.83225,2.95275
2013,249297.2358,358.91,62.83375,23.45841667,2.375166667
2014,235728.9753,227.16,64.468167,23.61816667,2.179416667
2015,298819,221.43,56.90084,24.85716667,1.819
2016,284455,416.44,99.81875,23.85883333,2.174083333
2017,272701,527.79,82.04125,24.02858333,2.360583333
2018,269551,217.18,73.72158333,24.12016667,2.23475
2019,272192,655.48,67.74575,23.30683333,2.418333333
2020,254667,565.63,99.55275,23.93425,2.179416667
